subdataset,tipo_dataset,tamanioS1,tamanioS2,costodp,tiempo_dp
1,random_nxm,32,32,42,0.078000
1,random_nxm,32,32,48,0.074000
1,random_nxm,32,32,48,0.073000
1,random_nxm,64,64,94,0.278000
1,random_nxm,64,64,95,0.276000
1,random_nxm,64,64,92,0.304000
1,random_nxm,128,128,176,1.103000
1,random_nxm,128,128,180,1.090000
1,random_nxm,128,128,176,1.096000
1,random_nxm,256,256,351,4.384000
1,random_nxm,256,256,357,4.330000
1,random_nxm,256,256,354,4.386000
1,random_nxm,512,512,690,17.405001
1,random_nxm,512,512,708,17.410999
1,random_nxm,512,512,688,17.473000
1,random_nxm,1024,1024,1387,71.892998
1,random_nxm,1024,1024,1400,68.988998
1,random_nxm,1024,1024,1390,68.695999
1,random_nxm,2048,2048,2757,284.089996
1,random_nxm,2048,2048,2768,280.096985
1,random_nxm,2048,2048,2739,278.002014
1,random_nxm,4096,4096,5506,1128.571045
1,random_nxm,4096,4096,5500,1123.969971
1,random_nxm,4096,4096,5505,1105.177002
1,random_nxm,8192,8192,11023,4530.813965
1,random_nxm,8192,8192,10956,4443.609863
1,random_nxm,8192,8192,11031,4451.905762
